Source,Target,Types,Weight
Bad Zurzach,Brugg,BS C,1
Bad Zurzach,Windisch,BS C,1
Bad Zurzach,Basel,BS C,1
Bad Zurzach,Bern,BS C,1
Bad Zurzach,Niederbipp,BS C,1
Bad Zurzach,Geneva,BS C,1
Bad Zurzach,Kirchberg,BS C,1
Bad Zurzach,Balsthal,BS C,1
Bad Zurzach,Eppenberg-Wöschnau,BS C,1
Bad Zurzach,Diessenhofen,BS C,1
Bad Zurzach,Avenches,BS C,1
Bad Zurzach,Baar,BS C,1
Bad Zurzach,Rheinau,BS C,1
Bad Zurzach,Stradonice Oppidum,BS C,1
Bad Zurzach,Egglfing,BS C,1
Bad Zurzach,Teisendorf,BS C,1
Bad Zurzach,Altenburg-Rheinau,BS C,1
Bad Zurzach,Manching,BS C,1
Bad Zurzach,Dorfen Niederham,BS C,1
Bad Zurzach,Karlstein,BS C,1
Bad Zurzach,Linz Freinberg,BS C,1
Bad Zurzach,Kremsmünster,BS C,1
Bad Zurzach,Bruck an der Großglocknerstraße,BS C,1
Bad Zurzach,Liefering,BS C,1
Bad Zurzach,Georgenberg,BS C,1
Bad Zurzach,Salzburg Stadt,BS C,1
Bad Zurzach,Salzburg,BS C,1
Bad Zurzach,Kleßheim,BS C,1
Bad Zurzach,Třísov,BS C,1
Bad Zurzach,Mainburg,BS C,1
Bad Zurzach,Aholming,BS C,1
Bad Zurzach,Oberpöring,BS C,1
Bad Zurzach,Gilsenöd,BS C,1
Bad Zurzach,Thundorf,BS C,1
Bad Zurzach,Neuses an der Regnitz,BS C,1
Bad Zurzach,Roggwil,BS C,1
Bad Zurzach,Merklingen,BS C,1
Brugg,Windisch,BS C,1
Brugg,Basel,BS C,1
Brugg,Bern,BS C,1
Brugg,Niederbipp,BS C,1
Brugg,Geneva,BS C,1
Brugg,Kirchberg,BS C,1
Brugg,Balsthal,BS C,1
Brugg,Eppenberg-Wöschnau,BS C,1
Brugg,Diessenhofen,BS C,1
Brugg,Avenches,BS C,1
Brugg,Baar,BS C,1
Brugg,Rheinau,BS C,1
Brugg,Stradonice Oppidum,BS C,1
Brugg,Egglfing,BS C,1
Brugg,Teisendorf,BS C,1
Brugg,Altenburg-Rheinau,BS C,1
Brugg,Manching,BS C,1
Brugg,Dorfen Niederham,BS C,1
Brugg,Karlstein,BS C,1
Brugg,Linz Freinberg,BS C,1
Brugg,Kremsmünster,BS C,1
Brugg,Bruck an der Großglocknerstraße,BS C,1
Brugg,Liefering,BS C,1
Brugg,Georgenberg,BS C,1
Brugg,Salzburg Stadt,BS C,1
Brugg,Salzburg,BS C,1
Brugg,Kleßheim,BS C,1
Brugg,Třísov,BS C,1
Brugg,Mainburg,BS C,1
Brugg,Aholming,BS C,1
Brugg,Oberpöring,BS C,1
Brugg,Gilsenöd,BS C,1
Brugg,Thundorf,BS C,1
Brugg,Neuses an der Regnitz,BS C,1
Brugg,Roggwil,BS C,1
Brugg,Merklingen,BS C,1
Windisch,Basel,BS C,2
Windisch,Bern,BS C,4
Windisch,Niederbipp,BS C,2
Windisch,Geneva,BS C,1
Windisch,Kirchberg,BS C,1
Windisch,Balsthal,BS C,2
Windisch,Eppenberg-Wöschnau,BS C,1
Windisch,Diessenhofen,BS C,1
Windisch,Avenches,BS C,5
Windisch,Baar,BS C,4
Windisch,Rheinau,BS C,5
Windisch,Stradonice Oppidum,BS C,5
Windisch,Egglfing,BS C,5
Windisch,Teisendorf,BS C,5
Windisch,Altenburg-Rheinau,BS C,5
Windisch,Manching,BS C,5
Windisch,Dorfen Niederham,BS C,1
Windisch,Karlstein,BS C,3
Windisch,Linz Freinberg,BS C,1
Windisch,Kremsmünster,BS C,1
Windisch,Bruck an der Großglocknerstraße,BS C,2
Windisch,Liefering,BS C,1
Windisch,Georgenberg,BS C,1
Windisch,Salzburg Stadt,BS C,1
Windisch,Salzburg,BS C,5
Windisch,Kleßheim,BS C,1
Windisch,Třísov,BS C,2
Windisch,Mainburg,BS C,3
Windisch,Aholming,BS C,2
Windisch,Oberpöring,BS C,3
Windisch,Gilsenöd,BS C,1
Windisch,Thundorf,BS C,4
Windisch,Neuses an der Regnitz,BS C,5
Windisch,Roggwil,BS C,5
Windisch,Merklingen,BS C,5
Basel,Bern,BS C,2
Basel,Niederbipp,BS C,2
Basel,Geneva,BS C,1
Basel,Kirchberg,BS C,1
Basel,Balsthal,BS C,2
Basel,Eppenberg-Wöschnau,BS C,1
Basel,Diessenhofen,BS C,1
Basel,Avenches,BS C,2
Basel,Baar,BS C,2
Basel,Rheinau,BS C,2
Basel,Stradonice Oppidum,BS C,2
Basel,Egglfing,BS C,2
Basel,Teisendorf,BS C,2
Basel,Altenburg-Rheinau,BS C,2
Basel,Manching,BS C,2
Basel,Dorfen Niederham,BS C,1
Basel,Karlstein,BS C,2
Basel,Linz Freinberg,BS C,1
Basel,Kremsmünster,BS C,1
Basel,Bruck an der Großglocknerstraße,BS C,2
Basel,Liefering,BS C,1
Basel,Georgenberg,BS C,1
Basel,Salzburg Stadt,BS C,1
Basel,Salzburg,BS C,2
Basel,Kleßheim,BS C,1
Basel,Třísov,BS C,2
Basel,Mainburg,BS C,2
Basel,Aholming,BS C,2
Basel,Oberpöring,BS C,2
Basel,Gilsenöd,BS C,1
Basel,Thundorf,BS C,2
Basel,Neuses an der Regnitz,BS C,2
Basel,Roggwil,BS C,2
Basel,Merklingen,BS C,2
Bern,Niederbipp,BS C,2
Bern,Geneva,BS C,1
Bern,Kirchberg,BS C,1
Bern,Balsthal,BS C,2
Bern,Eppenberg-Wöschnau,BS C,1
Bern,Diessenhofen,BS C,1
Bern,Avenches,BS C,4
Bern,Baar,BS C,4
Bern,Rheinau,BS C,4
Bern,Stradonice Oppidum,BS C,4
Bern,Egglfing,BS C,4
Bern,Teisendorf,BS C,4
Bern,Altenburg-Rheinau,BS C,4
Bern,Manching,BS C,4
Bern,Dorfen Niederham,BS C,1
Bern,Karlstein,BS C,3
Bern,Linz Freinberg,BS C,1
Bern,Kremsmünster,BS C,1
Bern,Bruck an der Großglocknerstraße,BS C,2
Bern,Liefering,BS C,1
Bern,Georgenberg,BS C,1
Bern,Salzburg Stadt,BS C,1
Bern,Salzburg,BS C,4
Bern,Kleßheim,BS C,1
Bern,Třísov,BS C,2
Bern,Mainburg,BS C,3
Bern,Aholming,BS C,2
Bern,Oberpöring,BS C,3
Bern,Gilsenöd,BS C,1
Bern,Thundorf,BS C,4
Bern,Neuses an der Regnitz,BS C,4
Bern,Roggwil,BS C,4
Bern,Merklingen,BS C,4
Niederbipp,Geneva,BS C,1
Niederbipp,Kirchberg,BS C,1
Niederbipp,Balsthal,BS C,2
Niederbipp,Eppenberg-Wöschnau,BS C,1
Niederbipp,Diessenhofen,BS C,1
Niederbipp,Avenches,BS C,2
Niederbipp,Baar,BS C,2
Niederbipp,Rheinau,BS C,2
Niederbipp,Stradonice Oppidum,BS C,2
Niederbipp,Egglfing,BS C,2
Niederbipp,Teisendorf,BS C,2
Niederbipp,Altenburg-Rheinau,BS C,2
Niederbipp,Manching,BS C,2
Niederbipp,Dorfen Niederham,BS C,1
Niederbipp,Karlstein,BS C,2
Niederbipp,Linz Freinberg,BS C,1
Niederbipp,Kremsmünster,BS C,1
Niederbipp,Bruck an der Großglocknerstraße,BS C,2
Niederbipp,Liefering,BS C,1
Niederbipp,Georgenberg,BS C,1
Niederbipp,Salzburg Stadt,BS C,1
Niederbipp,Salzburg,BS C,2
Niederbipp,Kleßheim,BS C,1
Niederbipp,Třísov,BS C,2
Niederbipp,Mainburg,BS C,2
Niederbipp,Aholming,BS C,2
Niederbipp,Oberpöring,BS C,2
Niederbipp,Gilsenöd,BS C,1
Niederbipp,Thundorf,BS C,2
Niederbipp,Neuses an der Regnitz,BS C,2
Niederbipp,Roggwil,BS C,2
Niederbipp,Merklingen,BS C,2
Geneva,Kirchberg,BS C,1
Geneva,Balsthal,BS C,1
Geneva,Eppenberg-Wöschnau,BS C,1
Geneva,Diessenhofen,BS C,1
Geneva,Avenches,BS C,1
Geneva,Baar,BS C,1
Geneva,Rheinau,BS C,1
Geneva,Stradonice Oppidum,BS C,1
Geneva,Egglfing,BS C,1
Geneva,Teisendorf,BS C,1
Geneva,Altenburg-Rheinau,BS C,1
Geneva,Manching,BS C,1
Geneva,Dorfen Niederham,BS C,1
Geneva,Karlstein,BS C,1
Geneva,Linz Freinberg,BS C,1
Geneva,Kremsmünster,BS C,1
Geneva,Bruck an der Großglocknerstraße,BS C,1
Geneva,Liefering,BS C,1
Geneva,Georgenberg,BS C,1
Geneva,Salzburg Stadt,BS C,1
Geneva,Salzburg,BS C,1
Geneva,Kleßheim,BS C,1
Geneva,Třísov,BS C,1
Geneva,Mainburg,BS C,1
Geneva,Aholming,BS C,1
Geneva,Oberpöring,BS C,1
Geneva,Gilsenöd,BS C,1
Geneva,Thundorf,BS C,1
Geneva,Neuses an der Regnitz,BS C,1
Geneva,Roggwil,BS C,1
Geneva,Merklingen,BS C,1
Kirchberg,Balsthal,BS C,1
Kirchberg,Eppenberg-Wöschnau,BS C,1
Kirchberg,Diessenhofen,BS C,1
Kirchberg,Avenches,BS C,1
Kirchberg,Baar,BS C,1
Kirchberg,Rheinau,BS C,1
Kirchberg,Stradonice Oppidum,BS C,1
Kirchberg,Egglfing,BS C,1
Kirchberg,Teisendorf,BS C,1
Kirchberg,Altenburg-Rheinau,BS C,1
Kirchberg,Manching,BS C,1
Kirchberg,Dorfen Niederham,BS C,1
Kirchberg,Karlstein,BS C,1
Kirchberg,Linz Freinberg,BS C,1
Kirchberg,Kremsmünster,BS C,1
Kirchberg,Bruck an der Großglocknerstraße,BS C,1
Kirchberg,Liefering,BS C,1
Kirchberg,Georgenberg,BS C,1
Kirchberg,Salzburg Stadt,BS C,1
Kirchberg,Salzburg,BS C,1
Kirchberg,Kleßheim,BS C,1
Kirchberg,Třísov,BS C,1
Kirchberg,Mainburg,BS C,1
Kirchberg,Aholming,BS C,1
Kirchberg,Oberpöring,BS C,1
Kirchberg,Gilsenöd,BS C,1
Kirchberg,Thundorf,BS C,1
Kirchberg,Neuses an der Regnitz,BS C,1
Kirchberg,Roggwil,BS C,1
Kirchberg,Merklingen,BS C,1
Balsthal,Eppenberg-Wöschnau,BS C,1
Balsthal,Diessenhofen,BS C,1
Balsthal,Avenches,BS C,2
Balsthal,Baar,BS C,2
Balsthal,Rheinau,BS C,2
Balsthal,Stradonice Oppidum,BS C,2
Balsthal,Egglfing,BS C,2
Balsthal,Teisendorf,BS C,2
Balsthal,Altenburg-Rheinau,BS C,2
Balsthal,Manching,BS C,2
Balsthal,Dorfen Niederham,BS C,1
Balsthal,Karlstein,BS C,2
Balsthal,Linz Freinberg,BS C,1
Balsthal,Kremsmünster,BS C,1
Balsthal,Bruck an der Großglocknerstraße,BS C,2
Balsthal,Liefering,BS C,1
Balsthal,Georgenberg,BS C,1
Balsthal,Salzburg Stadt,BS C,1
Balsthal,Salzburg,BS C,2
Balsthal,Kleßheim,BS C,1
Balsthal,Třísov,BS C,2
Balsthal,Mainburg,BS C,2
Balsthal,Aholming,BS C,2
Balsthal,Oberpöring,BS C,2
Balsthal,Gilsenöd,BS C,1
Balsthal,Thundorf,BS C,2
Balsthal,Neuses an der Regnitz,BS C,2
Balsthal,Roggwil,BS C,2
Balsthal,Merklingen,BS C,2
Eppenberg-Wöschnau,Diessenhofen,BS C,1
Eppenberg-Wöschnau,Avenches,BS C,1
Eppenberg-Wöschnau,Baar,BS C,1
Eppenberg-Wöschnau,Rheinau,BS C,1
Eppenberg-Wöschnau,Stradonice Oppidum,BS C,1
Eppenberg-Wöschnau,Egglfing,BS C,1
Eppenberg-Wöschnau,Teisendorf,BS C,1
Eppenberg-Wöschnau,Altenburg-Rheinau,BS C,1
Eppenberg-Wöschnau,Manching,BS C,1
Eppenberg-Wöschnau,Dorfen Niederham,BS C,1
Eppenberg-Wöschnau,Karlstein,BS C,1
